Brandon Sanderson,Brandon Winn Sanderson
Leigh Bardugo
Adrian Tchaikovsky,Adrian Czajkowski
Terry Pratchett,Sir Terence David John Pratchett
Andrzej Sapkowski
Dennis E. Taylor
Robert Jordan,James Oliver Rigney Jr.
Joe Abercrombie,Joseph Edward Abercrombie
Scott Lynch
Robin Hobb,Margaret Astrid Lindholm Ogden,Megan Lindholm
Susanna Clarke,Susanna Mary Clarke
Mark Lawrence
Martha Wells
Pierce Brown
Liu Cixin
James Islington
Christopher Ruocchio
Andy Weir
Neil Gaiman,Neil Richard MacKinnon Gaiman
Victoria Elizabeth Schwab, V. E. Schwab
Robert Jackson Bennett
T. Kingfisher,Ursula Vernon
M.L. Wang
